name,number,start_left,end_left,start_right,end_right,start,end,length,start_amplicon,end_amplicon
nCoV-2019_1_pool1,1,30,53,385,409,30,409,379,53,319
nCoV-2019_2_pool2,2,320,341,704,725,320,725,405,409,641
nCoV-2019_3_pool1,3,642,663,1004,1027,642,1027,385,725,942
nCoV-2019_4_pool2,4,943,964,1312,1336,943,1336,393,1027,1241
nCoV-2019_5_pool1,5,1242,1263,1623,1650,1242,1650,408,1336,1572
nCoV-2019_6_pool2,6,1573,1594,1942,1963,1573,1963,390,1650,1874
nCoV-2019_7_pool1,7,1875,1896,2247,2268,1875,2268,393,1963,2180
nCoV-2019_8_pool2,8,2181,2204,2568,2591,2181,2591,410,2268,2504
nCoV-2019_9_pool1,9,2505,2528,2882,2903,2505,2903,398,2591,2825
nCoV-2019_10_pool2,10,2826,2849,3183,3209,2826,3209,383,2903,3143
nCoV-2019_11_pool1,11,3144,3165,3507,3530,3144,3530,386,3209,3459
nCoV-2019_12_pool2,12,3460,3481,3826,3852,3460,3852,392,3530,3770
nCoV-2019_13_pool1,13,3771,3794,4142,4163,3771,4163,392,3852,4053
nCoV-2019_14_pool2,14,4054,4076,4428,4449,4054,4449,395,4163,4293
nCoV-2019_15_pool1,15,4294,4320,4674,4695,4294,4695,401,4449,4635
nCoV-2019_16_pool2,16,4636,4657,4995,5016,4636,5016,380,4695,4938
nCoV-2019_17_pool1,17,4939,4965,5296,5320,4939,5320,381,5016,5229
nCoV-2019_18_pool2,18,5230,5258,5620,5643,5230,5643,413,5320,5562
nCoV-2019_19_pool1,19,5563,5585,5932,5956,5563,5956,393,5643,5866
nCoV-2019_20_pool2,20,5867,5893,6247,6271,5867,6271,404,5956,6166
nCoV-2019_21_pool1,21,6167,6195,6528,6549,6167,6549,382,6271,6465
nCoV-2019_22_pool2,22,6466,6494,6846,6872,6466,6872,406,6549,6717
nCoV-2019_23_pool1,23,6718,6744,7092,7116,6718,7116,398,6872,7034
nCoV-2019_24_pool2,24,7035,7057,7389,7414,7035,7414,379,7116,7304
nCoV-2019_25_pool1,25,7305,7331,7671,7693,7305,7693,388,7414,7625
nCoV-2019_26_pool2,26,7626,7650,7997,8018,7626,8018,392,7693,7942
nCoV-2019_27_pool1,27,7943,7967,8319,8340,7943,8340,397,8018,8248
nCoV-2019_28_pool2,28,8249,8274,8635,8660,8249,8660,411,8340,8594
nCoV-2019_29_pool1,29,8595,8618,8954,8982,8595,8982,387,8660,8887
nCoV-2019_30_pool2,30,8888,8912,9245,9270,8888,9270,382,8982,9203
nCoV-2019_31_pool1,31,9204,9225,9557,9584,9204,9584,380,9270,9476
nCoV-2019_32_pool2,32,9477,9501,9834,9857,9477,9857,380,9584,9783
nCoV-2019_33_pool1,33,9784,9805,10146,10170,9784,10170,386,9857,10075
nCoV-2019_34_pool2,34,10076,10098,10437,10458,10076,10458,382,10170,10361
nCoV-2019_35_pool1,35,10362,10383,10737,10762,10362,10762,400,10458,10665
nCoV-2019_36_pool2,36,10666,10687,11048,11073,10666,11073,407,10762,10998
nCoV-2019_37_pool1,37,10999,11021,11372,11393,10999,11393,394,11073,11305
nCoV-2019_38_pool2,38,11306,11330,11668,11692,11306,11692,386,11393,11554
nCoV-2019_39_pool1,39,11555,11583,11927,11948,11555,11948,393,11692,11862
nCoV-2019_40_pool2,40,11863,11888,12234,12255,11863,12255,392,11948,12109
nCoV-2019_41_pool1,41,12110,12132,12465,12489,12110,12489,379,12255,12416
nCoV-2019_42_pool2,42,12417,12438,12779,12801,12417,12801,384,12489,12709
nCoV-2019_43_pool1,43,12710,12731,13074,13095,12710,13095,385,12801,13004
nCoV-2019_44_pool2,44,13005,13026,13378,13399,13005,13399,394,13095,13318
nCoV-2019_45_pool1,45,13319,13343,13669,13698,13319,13698,379,13399,13598
nCoV-2019_46_pool2,46,13599,13620,13962,13983,13599,13983,384,13698,13917
nCoV-2019_47_pool1,47,13918,13945,14271,14298,13918,14298,380,13983,14206
nCoV-2019_48_pool2,48,14207,14231,14579,14600,14207,14600,393,14298,14544
nCoV-2019_49_pool1,49,14545,14569,14898,14925,14545,14925,380,14600,14864
nCoV-2019_50_pool2,50,14865,14894,15224,15245,14865,15245,380,14925,15170
nCoV-2019_51_pool1,51,15171,15192,15538,15559,15171,15559,388,15245,15480
nCoV-2019_52_pool2,52,15481,15502,15861,15885,15481,15885,404,15559,15826
nCoV-2019_53_pool1,53,15827,15850,16186,16208,15827,16208,381,15885,16117
nCoV-2019_54_pool2,54,16118,16143,16485,16509,16118,16509,391,16208,16415
nCoV-2019_55_pool1,55,16416,16443,16804,16832,16416,16832,416,16509,16747
nCoV-2019_56_pool2,56,16748,16769,17130,17151,16748,17151,403,16832,17064
nCoV-2019_57_pool1,57,17065,17086,17430,17451,17065,17451,386,17151,17380
nCoV-2019_58_pool2,58,17381,17405,17738,17760,17381,17760,379,17451,17673
nCoV-2019_59_pool1,59,17674,17696,18036,18061,17674,18061,387,17760,17965
nCoV-2019_60_pool2,60,17966,17992,18324,18347,17966,18347,381,18061,18252
nCoV-2019_61_pool1,61,18253,18274,18650,18671,18253,18671,418,18347,18595
nCoV-2019_62_pool2,62,18596,18617,18957,18978,18596,18978,382,18671,18895
nCoV-2019_63_pool1,63,18896,18917,19275,19296,18896,19296,400,18978,19203
nCoV-2019_64_pool2,64,19204,19231,19591,19615,19204,19615,411,19296,19547
nCoV-2019_65_pool1,65,19548,19569,19911,19938,19548,19938,390,19615,19843
nCoV-2019_66_pool2,66,19844,19865,20231,20254,19844,20254,410,19938,20171
nCoV-2019_67_pool1,67,20172,20199,20542,20571,20172,20571,399,20254,20471
nCoV-2019_68_pool2,68,20472,20495,20867,20889,20472,20889,417,20571,20785
nCoV-2019_69_pool1,69,20786,20812,21146,21168,20786,21168,382,20889,21074
nCoV-2019_70_pool2,70,21075,21103,21427,21454,21075,21454,379,21168,21356
nCoV-2019_71_pool1,71,21357,21385,21716,21742,21357,21742,385,21454,21657
nCoV-2019_72_pool2,72,21658,21681,22013,22037,21658,22037,379,21742,21960
nCoV-2019_73_pool1,73,21961,21989,22324,22345,21961,22345,384,22037,22261
nCoV-2019_74_pool2,74,22262,22289,22626,22649,22262,22649,387,22345,22515
nCoV-2019_75_pool1,75,22516,22541,22877,22902,22516,22902,386,22649,22796
nCoV-2019_76_pool2,76,22797,22818,23192,23213,22797,23213,416,22902,23121
nCoV-2019_77_pool1,77,23122,23143,23500,23521,23122,23521,399,23213,23442
nCoV-2019_78_pool2,78,23443,23465,23822,23846,23443,23846,403,23521,23788
nCoV-2019_79_pool1,79,23789,23811,24145,24168,23789,24168,379,23846,24077
nCoV-2019_80_pool2,80,24078,24099,24443,24466,24078,24466,388,24168,24390
nCoV-2019_81_pool1,81,24391,24415,24765,24788,24391,24788,397,24466,24695
nCoV-2019_82_pool2,82,24696,24720,25052,25075,24696,25075,379,24788,24977
